city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
boulder,co,light,600.0,3/4/2008,40.015,-105.27,2007
northampton,ma,diamond,240.0,12/12/2011,42.325,-72.6416667,2011
tinley park,il,light,900.0,11/2/2004,41.5733333,-87.7844444,2004
hayden,id,circle,600.0,11/19/2012,47.7661111,-116.7855556,2012
boise,id,chevron,30.0,10/23/2013,43.6136111,-116.2025,2013
lancaster,pa,light,15.0,12/12/2009,40.0377778,-76.3058333,2009
long beach,ms,light,180.0,9/9/2004,30.3502778,-89.1527778,2004
thornton,co,circle,180.0,12/12/2013,39.8680556,-104.9713889,2013
windsor heights,ia,light,3600.0,12/2/2000,41.5977778,-93.7080556,2000
maple city,mi,egg,2400.0,1/12/2012,44.8555556,-85.8558333,2012
portage,in,light,60.0,7/10/2010,41.5758333,-87.1761111,2010
cresco,ia,light,1800.0,9/9/2013,43.3813889,-92.1138889,2013
cedar rapids,ia,cigar,1800.0,2/24/2007,42.0083333,-91.6438889,2007
montecito,ca,light,60.0,3/19/2009,34.4366667,-119.6311111,2009
heflin  (talladega national forest at oak level),al,light,10800.0,4/26/1999,33.6488889,-85.5875,1996
phoenix,az,circle,420.0,12/16/2005,33.4483333,-112.0733333,2005
cascade,co,circle,15.0,10/30/2006,38.8966667,-104.9716667,2006
durham,nc,circle,5.0,2/27/2000,35.9938889,-78.8988889,2000
grand junction (east of; on i-70),co,light,15.0,12/23/2013,39.0638889,-108.55,2013
boynton beach,fl,oval,30.0,3/18/2014,26.525,-80.0666667,2014
chicago,il,sphere,2700.0,4/16/2005,41.85,-87.65,1964
de soto,mo,light,360.0,10/31/2008,38.1394444,-90.555,2008
pomona,ca,round,900.0,11/2/1999,34.0552778,-117.7513889,1995
tallahassee,fl,sphere,1800.0,5/12/2010,30.4380556,-84.2808333,2010
lake city,fl,circle,720.0,1/11/2005,30.1894444,-82.6394444,2004
cardiff-by-the-sea,ca,fireball,600.0,4/26/1999,33.0216667,-117.2802778,1999
portsmouth (city of),va,light,60.0,8/5/2012,36.8352778,-76.2986111,2012
fort lauderdale (near),fl,triangle,10.0,12/7/2006,26.1219444,-80.1436111,2006
sterling,va,disk,900.0,11/28/2007,39.0061111,-77.4288889,1998
thomasville,nc,other,15.0,1/10/2009,35.8825,-80.0822222,2008
pittsboro,nc,light,2.0,6/12/2008,35.72,-79.1775,2008
capitola,ca,triangle,300.0,8/5/2001,36.9752778,-121.9522222,2001
singers glen,va,light,40.0,8/27/2009,38.5525,-78.9136111,2009
hyde park,ny,fireball,2.0,5/11/2005,41.7847222,-73.9336111,2005
sun prairie,wi,formation,165.0,12/2/2000,43.1836111,-89.2136111,2000
wilmington,ca,sphere,600.0,4/14/2009,33.78,-118.2616667,2009
flagstaff (south of),az,sphere,5.0,1/12/2012,35.1980556,-111.6505556,2011
purlear,nc,other,180.0,7/16/2006,36.1819444,-81.2844444,2006
sacramento,ca,oval,10.0,8/24/2010,38.5816667,-121.4933333,2010
mahwah,nj,fireball,5.0,8/27/2009,41.0886111,-74.1441667,2009
goffstown,nh,light,1380.0,10/11/2005,43.0202778,-71.6008333,2005
gloucester,ma,light,300.0,12/20/2000,42.6158333,-70.6625,2000
clinton,ms,triangle,300.0,1/11/2002,32.3413889,-90.3216667,2001
charlotte,nc,triangle,40.0,5/13/2012,35.2269444,-80.8433333,2012
oberlin,oh,formation,1800.0,6/12/2008,41.2938889,-82.2175,2008
san francisco,ca,triangle,8.0,5/15/2013,37.775,-122.4183333,2013
jefferson,ia,oval,14400.0,6/23/2004,42.0152778,-94.3772222,1973
new castle,va,triangle,300.0,7/14/2013,37.5,-80.1111111,2013
san fernando,ca,triangle,73800.0,1/3/2001,34.2819444,-118.4380556,1998
federal way,wa,fireball,1408.0,5/15/2013,47.3225,-122.3113889,2013
tempe,az,light,900.0,6/4/2004,33.4147222,-111.9086111,2004
fort wayne,in,other,5.0,7/13/2005,41.1305556,-85.1288889,2005
rogers,ar,oval,120.0,8/5/2012,36.3319444,-94.1183333,2012
andover,nj,formation,1200.0,8/5/2012,40.9858333,-74.7425,2012
marion,il,triangle,300.0,5/24/2005,37.7305556,-88.9330556,1994
ellensburg (south of)),wa,circle,7200.0,2/24/2007,46.9966667,-120.5466667,1972
palm coast,fl,formation,120.0,8/5/2009,29.5847222,-81.2080556,2009
dacula,ga,light,2.0,12/7/2006,33.9886111,-83.8980556,2006
southfield,mi,light,50.0,9/12/1999,42.4733333,-83.2219444,1999
laurel,md,light,600.0,9/2/2005,39.0991667,-76.8486111,2005
los angeles,ca,light,180.0,12/3/2004,34.0522222,-118.2427778,1972
las vegas,nv,circle,10.0,2/28/2013,36.175,-115.1363889,2013
mount pleasant,sc,circle,180.0,7/4/2011,32.7938889,-79.8627778,2000
woodland,ca,light,3.0,7/25/2004,38.6786111,-121.7722222,2004
wilmington,ca,light,360.0,7/13/2005,33.78,-118.2616667,2005
columbia,sc,oval,600.0,2/18/2013,34.0005556,-81.035,2013
greensburg,in,triangle,30.0,8/24/2010,39.3372222,-85.4836111,2010
el valle,nm,sphere,240.0,3/4/2008,36.1102778,-105.7261111,2007
pass christian,ms,fireball,10.0,10/31/2008,30.3155556,-89.2475,2008
san diego,ca,flash,1.0,4/28/2001,32.7152778,-117.1563889,1987
auburn,me,circle,120.0,12/17/2011,44.0977778,-70.2316667,2011
missoula,mt,chevron,1800.0,8/19/2012,46.8722222,-113.9930556,2012
buxton,nc,rectangle,60.0,9/30/2013,35.2675,-75.5427778,2013
kansas city,mo,other,720.0,8/5/2012,39.0997222,-94.5783333,2012
niverville,ny,light,60.0,2/10/2012,42.4408333,-73.6613889,2012
bremen,in,disk,5.0,10/30/2006,41.4463889,-86.1480556,1974
houston,tx,other,900.0,6/12/2008,29.7630556,-95.3630556,2008
freeport,ny,circle,300.0,12/20/2012,40.6575,-73.5836111,2012
everett,wa,formation,600.0,9/17/2000,47.9791667,-122.2008333,2000
winston-salem,nc,triangle,180.0,3/19/2009,36.0997222,-80.2444444,2008
republic,wa,circle,600.0,12/12/2011,48.6483333,-118.7366667,2011
pensacola,fl,light,60.0,11/21/2010,30.4211111,-87.2169444,2010
whitefield,ok,light,2.0,12/12/2009,35.2525,-95.2372222,2009
erie,pa,circle,120.0,7/19/2010,42.1291667,-80.0852778,2010
florence,sc,cylinder,600.0,8/28/2003,34.1952778,-79.7627778,1999
south berwick,me,teardrop,300.0,2/4/2013,43.2344444,-70.81,2012
knoxville,tn,cylinder,300.0,11/26/2003,35.9605556,-83.9208333,1998
oneida,ny,oval,10.0,2/1/2007,43.0925,-75.6516667,2007
blythewood,sc,oval,2.0,3/19/2009,34.2141667,-80.9741667,2009
julian,ca,other,120.0,1/17/2004,33.0786111,-116.6011111,1988
union city,tn,cigar,240.0,1/22/2000,36.4241667,-89.0569444,2000
santa monica,ca,circle,600.0,11/21/2010,34.0194444,-118.4902778,2010
everett,wa,light,600.0,5/24/1999,47.9791667,-122.2008333,1999
naalehu,hi,sphere,300.0,8/25/2000,19.0638889,-155.5858333,1997
dallas,tx,light,5.0,1/17/2004,32.7833333,-96.8,1979
narragansett,ri,egg,15.0,4/27/2004,41.45,-71.45,1965
denver,co,other,300.0,5/12/2009,39.7391667,-104.9841667,2009
calipatria,ca,circle,1200.0,3/11/2003,33.1255556,-115.5133333,1995
la jolla,ca,light,360.0,1/10/2014,32.8472222,-117.2733333,2013
middletown,oh,sphere,240.0,6/18/2003,39.515,-84.3983333,1980
northfield falls,vt,sphere,120.0,10/30/2012,44.1719444,-72.6513889,2012
morganton,nc,circle,20.0,10/31/2003,35.7452778,-81.685,1993
sedalia,mo,formation,15.0,11/28/2007,38.7044444,-93.2280556,2007
weston,ct,light,300.0,3/21/2003,41.2008333,-73.3811111,2003
lakeville,mn,cigar,7.0,8/30/2013,44.6497222,-93.2425,2013
eugene,or,changing,30.0,9/17/2000,44.0522222,-123.0855556,2000
pittsburgh (north of),pa,oval,900.0,11/21/2010,40.4405556,-79.9961111,1980
redondo beach,ca,disk,420.0,4/12/2013,33.8491667,-118.3875,2013
lake view terrace,ca,sphere,15.0,7/14/2013,34.2763889,-118.3602778,2009
asheville,nc,chevron,12.0,10/8/2007,35.6008333,-82.5541667,2007
des moines,ia,formation,300.0,8/30/2013,41.6005556,-93.6088889,2013
tampa,fl,triangle,300.0,6/2/2013,27.9472222,-82.4586111,1975
st. stephen,sc,sphere,720.0,1/24/2014,33.4041667,-79.9219444,2014
katy,tx,triangle,30.0,12/12/2011,29.7855556,-95.8241667,2011
lexington,nc,triangle,60.0,5/15/2013,35.8238889,-80.2536111,2013
milford,ct,cigar,150.0,1/3/2001,41.2222222,-73.0569444,1999
cleveland,oh,light,15.0,1/28/1999,41.4994444,-81.6955556,1998
longwood,fl,formation,600.0,4/24/2014,28.7027778,-81.3386111,2014
albany,or,fireball,600.0,10/14/2013,44.6366667,-123.1047222,2013
independence,mo,disk,60.0,2/14/2006,39.0911111,-94.4152778,1975
plymouth,nh,fireball,180.0,7/1/2002,43.7569444,-71.6886111,2002
lewiston (near),id,triangle,300.0,4/2/1999,46.4166667,-117.0166667,1994
cleveland,oh,light,900.0,8/5/2001,41.4994444,-81.6955556,2001
orlando,fl,light,60.0,4/1/2001,28.5380556,-81.3794444,2001
lewis center,oh,triangle,600.0,10/19/2011,40.1983333,-83.0102778,2011
reading,pa,disk,5400.0,1/31/2004,40.3355556,-75.9272222,2004
tucson,az,fireball,180.0,12/23/2013,32.2216667,-110.9258333,2013
casa grande,az,triangle,480.0,9/17/2000,32.8794444,-111.7566667,2000
houston,tx,sphere,15.0,8/12/2008,29.7630556,-95.3630556,2008
medford,or,light,5.0,4/27/2007,42.3266667,-122.8744444,2007
whittier,ca,other,3600.0,5/15/2006,33.9791667,-118.0319444,2006
hermitage,ar,sphere,60.0,2/16/2000,33.4463889,-92.1738889,2000
torrance,ca,sphere,600.0,10/14/2013,33.8358333,-118.3397222,2013
oakville,ct,triangle,180.0,2/14/2014,41.5933333,-73.0858333,2014
murrells inlet,sc,fireball,420.0,10/31/2008,33.5508333,-79.0416667,2008
davenport,fl,fireball,600.0,5/15/2013,28.1611111,-81.6019444,2013
la mirada,ca,flash,20.0,6/2/2013,33.9172222,-118.0111111,2013
sturgeon bay,wi,cigar,120.0,12/2/2000,44.8341667,-87.3769444,1967
danville,vt,oval,180.0,12/23/2013,44.4111111,-72.1397222,2013
redwood city,ca,sphere,300.0,5/12/2011,37.4852778,-122.2352778,2011
las vegas,nv,oval,600.0,5/13/2012,36.175,-115.1363889,2012
telford,pa,circle,180.0,12/7/2006,40.3219444,-75.3283333,2006
pueblo (70 miles south of),co,cylinder,360.0,3/6/2001,38.2544444,-104.6086111,2001
portland,or,light,20.0,11/1/1998,45.5236111,-122.675,1998
bellville,oh,circle,14400.0,1/28/1999,40.62,-82.5108333,1998
cranston,ri,sphere,60.0,11/19/2012,41.7797222,-71.4377778,2012
holden beach,nc,triangle,30.0,5/29/2012,33.9133333,-78.3041667,2012
goodlettsville,tn,changing,120.0,10/28/2002,36.3230556,-86.7133333,1994
apex,nc,other,600.0,1/31/2011,35.7325,-78.8505556,2010
